timestamp,millis,freq_hz,duty,current_A,led2,led1,aled2,aled1,led2_sub,led1_sub,spo2,hr1,hr2,hr3,rsqi
11:32:46.533,596856,10,92,0.464,2096921,2096921,28781,28073,2068140,2068848,88.73,226.9,0.0,67.4,0
11:32:46.759,597084,10,92,0.464,2096921,2096921,28797,28127,2068124,2068794,88.55,226.9,0.0,67.4,0
11:32:46.978,597302,10,92,0.464,2096921,2096921,28984,27978,2067937,2068943,88.73,226.9,0.0,67.4,0
11:32:47.396,597722,10,92,0.464,2096921,2096921,28969,27950,2067952,2068971,88.77,182.3,0.0,87.0,0
11:32:47.597,597922,10,92,0.472,2096921,2096921,28813,28051,2068108,2068870,88.71,182.3,0.0,87.0,0
11:32:47.796,598122,10,92,0.472,2096921,2096921,28866,28160,2068055,2068761,88.75,182.3,0.0,87.0,0
11:32:47.996,598322,10,92,0.456,2096921,2096921,28939,28160,2067982,2068761,88.73,168.9,0.0,81.2,0
11:32:48.196,598522,10,92,0.464,2096921,2096921,28985,28019,2067936,2068902,88.66,168.9,0.0,81.2,0
11:32:48.397,598722,10,92,0.456,2096921,2096921,28996,27824,2067925,2069097,88.55,168.9,0.0,81.2,0
11:32:48.596,598922,10,92,0.472,2096921,2096921,28985,28162,2067936,2068759,88.76,153.4,0.0,80.2,0
11:32:48.798,599124,10,92,0.472,2096921,2096921,28975,27767,2067946,2069154,88.77,153.4,0.0,80.2,0
11:32:48.998,599324,10,92,0.456,2096921,2096921,28744,28199,2068177,2068722,88.77,153.4,0.0,80.2,0
11:32:49.224,599550,10,92,0.472,2096921,2096921,28809,27831,2068112,2069090,88.71,153.4,0.0,80.2,0
11:32:50.855,601180,10,92,0.472,2096921,2096921,28981,28000,2067940,2068921,89.35,131.8,0.0,45.3,0
11:32:55.903,606228,20,97,0.496,2096921,2096921,28984,28011,2067937,2068910,89.01,44.0,0.0,45.4,0
11:32:56.357,606674,20,92,0.480,2096921,2096921,28880,28154,2068041,2068767,89.37,45.3,0.0,45.4,0
11:32:56.577,606898,20,92,0.472,2096921,2096921,29033,28202,2067888,2068719,89.52,45.3,0.0,45.4,0
11:32:56.808,607126,20,92,0.464,2096921,2096921,28969,28140,2067952,2068781,89.40,45.3,0.0,45.4,0
11:32:57.010,607336,20,88,0.472,2096921,2096921,29172,28166,2067749,2068755,89.31,47.0,0.0,45.4,0
11:32:57.210,607536,20,88,0.456,2096921,2096921,28866,28281,2068055,2068640,89.37,47.0,0.0,45.4,0
11:32:57.411,607737,20,88,0.464,2096921,2096921,29009,28098,2067912,2068823,89.22,47.0,0.0,45.4,0
11:32:57.613,607938,20,88,0.456,2096921,2096921,29108,28138,2067813,2068783,89.25,47.0,0.0,45.4,0
11:32:57.813,608138,20,88,0.448,2096921,2096921,28894,28071,2068027,2068850,89.25,47.0,0.0,45.4,0
11:32:58.013,608338,20,88,0.464,2096921,2096921,29120,28105,2067801,2068816,89.18,47.0,0.0,45.4,0
11:32:58.213,608538,20,88,0.440,2096921,2096921,29081,28244,2067840,2068677,89.21,47.0,0.0,45.4,0
11:32:58.413,608739,20,88,0.456,2096921,2096921,29038,27965,2067883,2068956,89.21,47.0,0.0,45.4,0
11:32:58.619,608942,20,88,0.448,2096921,2096921,28883,28209,2068038,2068712,89.09,47.0,0.0,45.4,0
11:32:58.842,609166,20,88,0.448,2096921,2096921,28970,28109,2067951,2068812,89.13,47.0,0.0,45.4,0
11:32:59.072,609398,20,88,0.448,2096921,2096921,29026,28096,2067895,2068825,88.99,47.0,0.0,45.4,0
11:32:59.527,609844,20,88,0.448,2096921,2096921,28901,28110,2068020,2068811,89.02,47.0,0.0,45.4,0
11:32:59.745,610064,20,88,0.440,2096921,2096921,28799,28076,2068122,2068845,89.04,47.0,0.0,45.4,0
11:32:59.942,610266,20,88,0.440,2096921,2096921,28978,27868,2067943,2069053,89.00,47.0,0.0,45.4,0
11:33:00.346,610666,20,88,0.440,2096921,2096921,28675,28128,2068246,2068793,88.84,47.0,0.0,64.3,0
11:33:00.756,611066,20,88,0.440,2096921,2096921,28785,28056,2068136,2068865,88.72,47.0,0.0,63.9,0
11:33:05.913,616238,50,97,0.504,2096921,2096921,28700,27963,2068221,2068958,88.67,47.0,0.0,78.2,0
11:33:06.114,616438,50,92,0.488,2096921,2096921,28888,27982,2068033,2068939,88.72,47.0,0.0,78.2,0
11:33:06.313,616638,50,92,0.488,2096921,2096921,28986,28133,2067935,2068788,88.77,47.0,0.0,78.2,0
11:33:06.747,617074,50,92,0.480,2096921,2096921,28861,27915,2068060,2069006,88.68,47.0,0.0,78.2,0
