Altium Designer Pick and Place Locations
C:\Users\Pablo\Documents\IncuNest\Hardware\Electronics\FullLEDStrip\Project Outputs for IncuNest_Phototherapy\Pick Place\Pick Place for IncuNest_Phototherapy.csv

========================================================================================================================
File Design Information:

Date:       13/08/26
Time:       11.08
Revision:   58b6efed260124d02e2a611599bfc9cb075dbebf
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"D1","2.2890","141.7310","TopLayer","270"
"D2","16.5840","141.7310","TopLayer","270"
"D3","30.8790","141.7310","TopLayer","270"
"D4","45.1740","141.7310","TopLayer","270"
"D5","59.4690","141.7310","TopLayer","270"
"D6","73.7640","141.7310","TopLayer","270"
"D7","88.0590","141.7310","TopLayer","270"
"D8","102.3540","141.7310","TopLayer","270"
"D9","116.6490","141.7310","TopLayer","270"
"D10","130.9440","141.7310","TopLayer","270"
"D11","145.2390","141.7310","TopLayer","270"
"D12","159.5340","141.7310","TopLayer","270"
"D13","173.8290","141.7310","TopLayer","270"
"D14","188.1240","141.7310","TopLayer","270"
"D15","202.4190","141.7310","TopLayer","270"
"D16","2.2890","108.7050","TopLayer","270"
"D17","16.5840","108.7050","TopLayer","270"
"D18","30.8790","108.7050","TopLayer","270"
"D19","45.1740","108.7050","TopLayer","270"
"D20","59.4690","108.7050","TopLayer","270"
"D21","73.7640","108.7050","TopLayer","270"
"D22","88.0590","108.7050","TopLayer","270"
"D23","102.3540","108.7050","TopLayer","270"
"D24","116.6490","108.7050","TopLayer","270"
"D25","130.9440","108.7050","TopLayer","270"
"D26","145.2390","108.7050","TopLayer","270"
"D27","159.5340","108.7050","TopLayer","270"
"D28","173.8290","108.7050","TopLayer","270"
"D29","188.1240","108.7050","TopLayer","270"
"D30","202.4190","108.7050","TopLayer","270"
"D31","2.2890","72.8900","TopLayer","270"
"D32","16.5840","72.8900","TopLayer","270"
"D33","30.8790","72.8900","TopLayer","270"
"D34","45.1740","72.8900","TopLayer","270"
"D35","59.4690","72.8900","TopLayer","270"
"D36","73.7640","72.8900","TopLayer","270"
"D37","88.0590","72.8900","TopLayer","270"
"D38","102.3540","72.8900","TopLayer","270"
"D39","116.6490","72.8900","TopLayer","270"
"D40","130.9440","72.8900","TopLayer","270"
"D41","145.2390","72.8900","TopLayer","270"
"D42","159.5340","72.8900","TopLayer","270"
"D43","173.8290","72.8900","TopLayer","270"
"D44","188.1240","72.8900","TopLayer","270"
"D45","202.4190","72.8900","TopLayer","270"
"D46","2.2890","36.4130","TopLayer","270"
"D47","16.5840","36.4130","TopLayer","270"
"D48","30.8790","36.4130","TopLayer","270"
"D49","45.1740","36.4130","TopLayer","270"
"D50","59.4690","36.4130","TopLayer","270"
"D51","73.7640","36.4130","TopLayer","270"
"D52","88.0590","36.4130","TopLayer","270"
"D53","102.3540","36.4130","TopLayer","270"
"D54","116.6490","36.4130","TopLayer","270"
"D55","130.9440","36.4130","TopLayer","270"
"D56","145.2390","36.4130","TopLayer","270"
"D57","159.5340","36.4130","TopLayer","270"
"D58","173.8290","36.4130","TopLayer","270"
"D59","188.1240","36.4130","TopLayer","270"
"D60","202.4190","36.4130","TopLayer","270"
"D61","2.2890","4.0930","TopLayer","270"
"D62","16.5840","4.0930","TopLayer","270"
"D63","30.8790","3.7120","TopLayer","90"
"D64","45.1740","4.0930","TopLayer","270"
"D65","59.4690","4.0930","TopLayer","270"
"D66","73.7640","3.7120","TopLayer","90"
"D67","88.0590","4.0930","TopLayer","270"
"D68","102.3540","4.0930","TopLayer","270"
"D69","116.6490","3.7120","TopLayer","90"
"D70","130.9440","4.0930","TopLayer","270"
"D71","145.2390","4.0930","TopLayer","270"
"D72","159.5340","3.7120","TopLayer","90"
"D73","173.8290","4.0930","TopLayer","270"
"D74","188.1240","4.0930","TopLayer","270"
"D75","202.4190","3.7120","TopLayer","90"
"R1","30.6470","136.5540","TopLayer","270"
"R2","73.5320","136.5540","TopLayer","270"
"R3","116.4170","136.5540","TopLayer","270"
"R4","159.3020","136.5540","TopLayer","270"
"R5","202.1870","136.5540","TopLayer","270"
"R6","30.6100","103.3000","TopLayer","270"
"R7","73.5360","103.4270","TopLayer","270"
"R8","116.4620","103.4270","TopLayer","270"
"R9","159.3880","103.3000","TopLayer","270"
"R10","202.1870","103.1730","TopLayer","270"
"R11","30.6470","67.7130","TopLayer","270"
"R12","73.5360","67.6130","TopLayer","270"
"R13","116.4620","67.4860","TopLayer","270"
"R14","159.3880","67.7400","TopLayer","270"
"R15","202.1870","67.4860","TopLayer","270"
"R16","30.6470","31.2360","TopLayer","270"
"R17","73.7640","31.4680","TopLayer","270"
"R18","116.6490","31.4680","TopLayer","270"
"R19","159.5340","31.4680","TopLayer","270"
"R20","202.4190","31.4680","TopLayer","270"
"R21","30.9010","9.0460","TopLayer","90"
"R22","73.7860","9.0460","TopLayer","90"
"R23","116.6710","9.0460","TopLayer","90"
"R24","159.5560","9.0460","TopLayer","90"
"R25","202.4410","9.0460","TopLayer","90"
