Altium Designer Pick and Place Locations
C:\Users\Pablo\Documents\IncuNest\Hardware\Electronics\Motherboard\Project Outputs for IncuNest\Pick Place\Pick Place for Motherboard(Main).csv

========================================================================================================================
File Design Information:

Date:       10/07/26
Time:       18.54
Revision:   Not in VersionControl
Variant:    Main
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"BUZ1","32.2730","-6.3746","BottomLayer","270"
"C1","61.8490","-11.3030","BottomLayer","180"
"C2","61.7900","-7.7470","BottomLayer","180"
"C3","61.8490","-8.7630","BottomLayer","180"
"C4","80.8310","-56.2610","BottomLayer","0"
"C5","80.7720","-55.1180","BottomLayer","0"
"C6","114.9350","-59.8170","TopLayer","270"
"C7","117.3480","-57.6580","TopLayer","0"
"C8","117.3480","-51.0570","TopLayer","180"
"C9","117.3480","-49.9140","TopLayer","180"
"C10","114.9350","-61.8490","TopLayer","90"
"C11","109.4740","-58.5470","TopLayer","180"
"C12","109.8550","-49.2760","TopLayer","270"
"C13","110.8710","-49.2760","TopLayer","270"
"C14","90.4240","-15.7480","BottomLayer","180"
"C15","108.8390","-49.2760","TopLayer","270"
"C16","88.2650","-15.7480","BottomLayer","0"
"C21","124.5870","-30.9880","TopLayer","0"
"C22","90.4240","-17.9070","TopLayer","0"
"C23","94.0140","-47.8790","BottomLayer","0"
"C24","40.1320","-53.7210","BottomLayer","180"
"C25","56.6420","-55.2450","BottomLayer","180"
"C26","87.7570","-48.8950","BottomLayer","270"
"C27","21.0867","-23.9617","BottomLayer","180"
"C28","21.0896","-22.8176","BottomLayer","180"
"C29","13.3350","-53.8480","BottomLayer","90"
"C30","15.6210","-14.3140","BottomLayer","180"
"C31","15.6210","-12.7900","BottomLayer","180"
"C32","15.6210","-11.2660","BottomLayer","180"
"C33","14.2240","-9.6520","BottomLayer","180"
"C34","24.1670","-53.6920","BottomLayer","270"
"C35","22.6430","-53.6920","BottomLayer","270"
"C36","25.6910","-53.6920","BottomLayer","270"
"C37","15.0230","-53.6920","BottomLayer","270"
"C38","19.1770","-34.9250","BottomLayer","270"
"C39","19.1770","-41.1720","BottomLayer","90"
"C40","11.9380","-9.6520","BottomLayer","90"
"C41","15.1720","-25.5270","TopLayer","0"
"C42","7.1120","-55.5580","BottomLayer","90"
"C43","14.7320","-7.6200","TopLayer","90"
"C44","15.6210","-17.4890","BottomLayer","180"
"C45","15.6210","-15.9650","BottomLayer","180"
"C46","15.6210","-19.0130","BottomLayer","180"
"C47","15.6210","-20.5370","BottomLayer","180"
"C48","21.1190","-53.6920","BottomLayer","270"
"C49","19.5950","-53.6920","BottomLayer","270"
"C50","18.0710","-53.6920","BottomLayer","270"
"C51","16.5470","-53.6920","BottomLayer","270"
"C52","23.7490","-20.4470","BottomLayer","90"
"C53","25.5270","-19.8120","BottomLayer","0"
"C54","25.5270","-21.0820","BottomLayer","0"
"C55","18.7960","-37.9730","BottomLayer","0"
"C56","23.3680","-60.9600","BottomLayer","90"
"C57","21.5900","-60.4520","BottomLayer","0"
"C58","18.0340","-57.6580","BottomLayer","90"
"C59","16.5100","-57.6580","BottomLayer","90"
"C60","29.5910","-41.6560","BottomLayer","180"
"C61","26.0350","-32.8340","BottomLayer","270"
"C62","28.4480","-42.9260","BottomLayer","180"
"C63","28.3820","-32.3850","BottomLayer","0"
"C64","23.1140","-32.0040","BottomLayer","90"
"C65","29.3370","-39.3700","BottomLayer","0"
"C66","28.1940","-35.8140","BottomLayer","0"
"C67","30.2850","-40.2590","BottomLayer","0"
"C68","66.5480","-50.9270","BottomLayer","90"
"C69","68.9147","-54.7700","BottomLayer","0"
"C70","68.9147","-53.6270","BottomLayer","0"
"C71","68.9147","-52.4840","BottomLayer","0"
"C72","68.9147","-51.4680","BottomLayer","0"
"C73","68.9147","-55.9130","BottomLayer","0"
"C74","68.9610","-44.0690","BottomLayer","0"
"C75","68.9610","-46.1010","BottomLayer","0"
"C76","68.9610","-47.8790","BottomLayer","0"
"C77","18.6690","-10.0330","BottomLayer","90"
"C78","71.6280","-37.8460","BottomLayer","180"
"C79","76.4540","-35.3650","BottomLayer","90"
"C80","75.3873","-35.3650","BottomLayer","90"
"C81","72.1870","-35.3650","BottomLayer","90"
"C82","73.2538","-35.3650","BottomLayer","90"
"C83","74.3205","-35.3650","BottomLayer","90"
"C84","65.5320","-35.5600","BottomLayer","90"
"C85","67.3100","-35.5600","BottomLayer","90"
"C86","68.7070","-35.5600","BottomLayer","90"
"C87","47.6250","-32.7660","BottomLayer","0"
"C88","43.2556","-34.8235","BottomLayer","270"
"C89","44.2716","-34.8235","BottomLayer","270"
"C90","45.4146","-34.8235","BottomLayer","270"
"C91","46.5576","-34.8235","BottomLayer","270"
"C92","47.7006","-34.8235","BottomLayer","270"
"C93","54.8640","-34.6710","BottomLayer","270"
"C94","52.9590","-34.6710","BottomLayer","270"
"C95","51.5620","-34.6710","BottomLayer","270"
"C96","105.9180","-53.8480","TopLayer","90"
"C97","103.7590","-56.2610","TopLayer","0"
"C98","129.7940","-34.2900","BottomLayer","180"
"C99","96.2660","-49.1490","BottomLayer","180"
"C100","25.2730","-45.9740","BottomLayer","270"
"C101","7.4930","-35.4330","TopLayer","180"
"C102","7.4270","-33.2740","TopLayer","180"
"C103","4.8260","-27.9400","TopLayer","0"
"C104","30.8842","-38.6974","TopLayer","90"
"C105","90.4240","-14.2240","BottomLayer","0"
"C106","3.9700","-43.6880","TopLayer","0"
"C107","60.4520","-34.5440","BottomLayer","180"
"D1","80.7720","-57.2659","BottomLayer","0"
"D2","80.8990","-54.2290","TopLayer","270"
"D4","120.9040","-47.1170","TopLayer","270"
"D5","120.9040","-50.8000","TopLayer","90"
"D6","120.9040","-58.4200","TopLayer","90"
"D7","120.9040","-54.7370","TopLayer","270"
"D8","92.5830","-19.4310","TopLayer","0"
"D9","128.6510","-27.9400","TopLayer","90"
"D10","8.7630","-21.7170","TopLayer","90"
"D11","6.9850","-8.2550","BottomLayer","90"
"D12","73.4709","-58.0459","BottomLayer","180"
"D13","6.1595","-64.2620","BottomLayer","0"
"D14","28.7020","-6.9850","TopLayer","180"
"D15","23.4950","-10.0330","BottomLayer","180"
"D16","31.6230","-6.9850","TopLayer","90"
"J3","35.9411","-63.2459","TopLayer","0"
"J4","53.4670","-62.9920","TopLayer","180"
"J5","64.5330","-60.8330","TopLayer","90"
"J6","126.5709","-50.8000","BottomLayer","90"
"J7","98.8060","-59.3090","BottomLayer","90"
"J8","5.0220","-21.4630","BottomLayer","270"
"J9","6.0960","-60.0710","TopLayer","180"
"J10","87.3760","-60.7220","TopLayer","90"
"J11","3.8680","-7.7470","TopLayer","270"
"J12","126.5000","-28.1210","BottomLayer","270"
"J13","80.8340","-62.7849","BottomLayer","90"
"J14","73.4710","-62.7959","TopLayer","90"
"L1","6.4770","-38.6080","BottomLayer","270"
"L2","74.6760","-51.9430","BottomLayer","270"
"L3","71.6280","-29.3370","BottomLayer","0"
"L4","49.2760","-40.5130","BottomLayer","180"
"Q1","33.0200","-46.6980","TopLayer","270"
"Q2","24.8920","-46.9690","TopLayer","180"
"Q3","35.0203","-37.7405","TopLayer","270"
"Q4","41.7490","-55.6870","TopLayer","270"
"Q5","51.1950","-43.9630","TopLayer","180"
"Q6","35.3060","-6.3500","TopLayer","180"
"Q7","17.7030","-3.8100","TopLayer","270"
"Q8","26.5890","-50.2920","BottomLayer","90"
"Q9","20.0585","-26.7100","BottomLayer","90"
"Q10","15.4865","-48.0460","BottomLayer","90"
"Q11","8.4220","-51.5355","BottomLayer","180"
"Q12","13.4220","-26.9505","BottomLayer","0"
"Q13","28.1940","-58.4414","BottomLayer","270"
"Q14","11.6097","-29.1348","TopLayer","180"
"Q15","15.6210","-47.7410","TopLayer","180"
"Q16","3.9370","-47.9950","TopLayer","180"
"R1","61.8490","-10.4140","BottomLayer","0"
"R2","40.1320","-23.7490","BottomLayer","180"
"R3","31.4960","-36.0680","TopLayer","0"
"R4","56.7690","-27.1780","BottomLayer","90"
"R5","45.3390","-27.4320","BottomLayer","90"
"R6","46.6090","-27.4320","BottomLayer","90"
"R7","26.7970","-43.0530","BottomLayer","270"
"R8","34.2583","-39.8995","TopLayer","0"
"R9","31.5290","-37.2110","TopLayer","180"
"R10","35.0203","-35.3275","TopLayer","180"
"R11","27.8130","-41.4020","TopLayer","180"
"R12","37.5603","-37.1055","TopLayer","90"
"R13","34.6710","-55.6260","TopLayer","180"
"R14","44.8310","-55.7530","TopLayer","180"
"R15","44.8310","-56.8960","TopLayer","180"
"R16","27.8130","-40.3860","TopLayer","0"
"R17","50.6730","-56.5150","TopLayer","270"
"R18","65.4050","-30.3530","BottomLayer","90"
"R19","81.6610","-49.4030","BottomLayer","90"
"R20","83.9470","-53.0860","BottomLayer","90"
"R21","83.9470","-55.3720","BottomLayer","90"
"R22","51.9430","-37.9730","TopLayer","270"
"R23","52.9590","-37.9730","TopLayer","270"
"R24","107.0610","-49.2760","TopLayer","90"
"R25","106.1750","-56.2640","TopLayer","180"
"R26","111.7600","-60.3250","TopLayer","180"
"R27","109.3140","-60.3250","TopLayer","0"
"R28","117.4030","-55.6260","TopLayer","180"
"R29","117.4030","-54.5330","TopLayer","180"
"R30","117.4030","-53.3900","TopLayer","180"
"R31","114.9820","-49.9880","TopLayer","0"
"R32","117.4030","-52.2000","TopLayer","180"
"R33","106.8070","-58.2930","TopLayer","270"
"R34","33.1470","-6.8580","TopLayer","270"
"R35","33.6550","-5.2070","TopLayer","0"
"R36","103.5339","-20.2791","BottomLayer","0"
"R37","103.5339","-21.4221","BottomLayer","180"
"R38","103.5669","-22.6921","BottomLayer","0"
"R39","83.3120","-18.2880","BottomLayer","270"
"R40","83.3120","-14.6050","BottomLayer","270"
"R41","127.1270","-30.9880","TopLayer","180"
"R42","127.1270","-25.1460","TopLayer","180"
"R43","130.5560","-25.1460","TopLayer","0"
"R44","94.9960","-50.2920","BottomLayer","0"
"R45","94.0140","-49.1490","BottomLayer","180"
"R46","27.1780","-57.0230","TopLayer","180"
"R47","40.0050","-8.5090","BottomLayer","180"
"R48","18.6690","-20.8280","BottomLayer","90"
"R49","31.3690","-49.8620","BottomLayer","270"
"R50","11.0490","-7.3660","BottomLayer","0"
"R51","11.0490","-4.9530","BottomLayer","0"
"R53","21.9710","-19.6850","BottomLayer","180"
"R54","21.9710","-21.0820","BottomLayer","180"
"R55","77.0890","-62.2300","BottomLayer","180"
"R56","77.0890","-63.2460","BottomLayer","180"
"R58","3.8710","-44.7611","TopLayer","0"
"R59","21.5900","-58.5470","BottomLayer","0"
"R60","21.8440","-32.6390","BottomLayer","90"
"R61","22.0980","-62.4840","BottomLayer","90"
"R62","20.9550","-62.4840","BottomLayer","90"
"R63","3.8430","-45.8470","TopLayer","0"
"R64","25.7810","-42.7990","BottomLayer","270"
"R65","26.9240","-32.8930","BottomLayer","90"
"R66","27.4320","-41.6560","BottomLayer","180"
"R67","25.0190","-32.8930","BottomLayer","90"
"R68","28.4150","-33.4010","BottomLayer","0"
"R69","24.1300","-32.0040","BottomLayer","90"
"R70","28.1940","-36.8300","BottomLayer","0"
"R71","28.0670","-40.2590","BottomLayer","0"
"R72","24.9860","-4.5720","BottomLayer","180"
"R73","28.7020","-4.0970","TopLayer","270"
"R74","65.4046","-48.6112","BottomLayer","90"
"R75","19.9390","-10.1600","BottomLayer","90"
"R76","66.4206","-48.6112","BottomLayer","270"
"R77","69.0550","-38.2270","BottomLayer","0"
"R78","69.0880","-39.2430","BottomLayer","180"
