Altium Designer Pick and Place Locations
C:\Users\Pablo\Documents\IncuNest\Hardware\Electronics\SensorBoard\Project Outputs for SensorBoard\Pick Place\Pick Place for SensorBoard(Main).csv

========================================================================================================================
File Design Information:

Date:       11/08/26
Time:       19.23
Revision:   Not in VersionControl
Variant:    Main
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C1","-35.3060","5.2070","TopLayer","0"
"C2","-36.0680","8.0010","TopLayer","270"
"C3","-34.9250","7.9330","TopLayer","270"
"C4","19.0500","-5.7740","TopLayer","270"
"C5","-72.6440","-13.3350","TopLayer","270"
"C6","-75.4380","-9.5250","TopLayer","90"
"C7","18.9230","5.7150","TopLayer","270"
"C8","-45.4660","3.5560","TopLayer","180"
"C9","-45.4660","2.5400","TopLayer","0"
"C10","-74.9215","-18.7969","TopLayer","180"
"C11","-44.5770","-1.3970","TopLayer","0"
"C12","-44.5770","-2.4130","TopLayer","180"
"C13","-41.9100","-8.0010","TopLayer","0"
"C14","-39.8780","-8.0010","TopLayer","180"
"C15","-39.6240","-2.0320","TopLayer","270"
"C16","-40.7670","-2.0320","TopLayer","270"
"C17","-38.3540","3.4290","TopLayer","270"
"C18","-37.7190","5.3340","TopLayer","0"
"C19","-44.4500","-9.9650","TopLayer","90"
"C20","-43.3070","-10.0330","TopLayer","90"
"C21","-40.3860","-13.8430","TopLayer","180"
"C22","-40.3860","-14.8590","TopLayer","180"
"C23","-42.6720","-0.6350","TopLayer","180"
"C24","-84.4550","-13.8430","TopLayer","270"
"D1","-84.2010","3.4540","TopLayer","270"
"D2","-84.2010","0.6350","TopLayer","270"
"D3","-84.2010","-2.1590","TopLayer","90"
"J2","-48.7600","-0.7100","TopLayer","270"
"J3","-88.8235","-0.6350","TopLayer","270"
"L1","-41.4020","6.0960","TopLayer","0"
"Q1","-76.9620","-9.3980","TopLayer","270"
"R1","-35.3060","6.3500","TopLayer","180"
"R2","-11.5570","-7.3660","TopLayer","90"
"R6","-29.4640","-12.1920","TopLayer","90"
"R7","-73.0250","-9.5250","TopLayer","90"
"R8","-74.2950","-9.5250","TopLayer","90"
"R9","-35.3060","2.6670","TopLayer","0"
"R10","-35.3060","3.9370","TopLayer","0"
"R11","-43.8150","-3.6830","TopLayer","0"
"R12","-46.3550","-4.1910","TopLayer","0"
"R13","-42.4180","-2.4130","TopLayer","0"
"R14","-46.3550","-3.1750","TopLayer","0"
"R15","-45.0850","4.5720","TopLayer","180"
"R16","-82.1690","-0.1270","TopLayer","0"
"R17","-82.1690","-1.3970","TopLayer","0"
"R18","-81.7880","-3.8100","TopLayer","180"
"R19","-81.7880","2.0320","TopLayer","180"
"R20","-37.2110","3.3020","TopLayer","270"
"R21","-43.1800","0.8890","TopLayer","90"
"R22","-38.3540","1.3970","TopLayer","270"
"R23","-12.1920","2.0320","TopLayer","180"
"R24","-12.1920","0.7620","TopLayer","180"
"S1","-7.7470","-7.3660","TopLayer","0"
"U1","-23.7760","-0.5250","TopLayer","0"
"U2","16.6370","5.7150","TopLayer","0"
"U3","-74.8570","-13.3305","TopLayer","180"
"U4","16.2560","-5.7150","TopLayer","0"
"U5","-75.0735","-21.2549","TopLayer","0"
"U6","-40.8940","-5.2070","TopLayer","270"
"U7","-40.7670","2.0320","TopLayer","270"
"U8","-40.8940","-11.0490","TopLayer","270"
"U9","-86.4870","-13.8430","TopLayer","0"
